,Key_a,title_a,brand_a,price_a,Key_b,title_b,brand_b,price_b,label,69_a,69_b,178_a,178_b,306_a,306_b,449_a,449_b,106_a,106_b,641_a,641_b,725_a,725_b,364_a,364_b,2321_a,2321_b,495_a,495_b,31_a,31_b,161_a,161_b,681_a,681_b,747_a,747_b,1830_a,1830_b,20_a,20_b,2670_a,2670_b,463_a,463_b,710_a,710_b,749_a,749_b,186_a,186_b,19_a,19_b,840_a,840_b,39_a,39_b,793_a,793_b,175_a,175_b,734_a,734_b,1344_a,1344_b,1412_a,1412_b,1454_a,1454_b,27_a,27_b,101_a,101_b,1552_a,1552_b,155_a,155_b,58_a,58_b,344_a,344_b,735_a,735_b,1073_a,1073_b,162_a,162_b,400_a,400_b,112_a,112_b,658_a,658_b,123_a,123_b,136_a,136_b,366_a,366_b,144_a,144_b,17_a,17_b,1040_a,1040_b,2061_a,2061_b,407_a,407_b,170_a,170_b,86_a,86_b,1056_a,1056_b,54_a,54_b,674_a,674_b,279_a,279_b,195_a,195_b,272_a,272_b,1343_a,1343_b,264_a,264_b,47_a,47_b,277_a,277_b,479_a,479_b,1411_a,1411_b,1923_a,1923_b,40_a,40_b,355_a,355_b,361_a,361_b,21_a,21_b,180_a,180_b,1346_a,1346_b,750_a,750_b,131_a,131_b,275_a,275_b,437_a,437_b,276_a,276_b,137_a,137_b,127_a,127_b,179_a,179_b,527_a,527_b,50_a,50_b,915_a,915_b,1889_a,1889_b,2860_a,2860_b,408_a,408_b,1441_a,1441_b,452_a,452_b,1072_a,1072_b,156_a,156_b,166_a,166_b,859_a,859_b,159_a,159_b,57_a,57_b,921_a,921_b,462_a,462_b,69_31_a,69_31_b,178_31_a,178_31_b,306_527_a,306_527_b,449_31_a,449_31_b,106_31_a,106_31_b,641_31_a,641_31_b,725_106_a,725_106_b,364_31_a,364_31_b,2321_1344_a,2321_1344_b,495_150_a,495_150_b,31_527_a,31_527_b,161_106_a,161_106_b,681_31_a,681_31_b,747_31_a,747_31_b,1830_31_a,1830_31_b,20_150_a,20_150_b,2670_527_a,2670_527_b,463_527_a,463_527_b,710_1344_a,710_1344_b,749_527_a,749_527_b,186_31_a,186_31_b,19_150_a,19_150_b,840_150_a,840_150_b,39_31_a,39_31_b,793_31_a,793_31_b,175_106_a,175_106_b,734_31_a,734_31_b,1344_527_a,1344_527_b,1412_31_a,1412_31_b,1454_31_a,1454_31_b,27_150_a,27_150_b,101_31_a,101_31_b,1552_31_a,1552_31_b,155_31_a,155_31_b,58_106_a,58_106_b,344_106_a,344_106_b,735_31_a,735_31_b,1073_31_a,1073_31_b,162_106_a,162_106_b,400_31_a,400_31_b,112_106_a,112_106_b,658_31_a,658_31_b,123_31_a,123_31_b,136_31_a,136_31_b,366_31_a,366_31_b,144_31_a,144_31_b,17_150_a,17_150_b,1040_106_a,1040_106_b,2061_31_a,2061_31_b,407_31_a,407_31_b,170_106_a,170_106_b,86_106_a,86_106_b,1056_31_a,1056_31_b,54_31_a,54_31_b,674_31_a,674_31_b,279_527_a,279_527_b,195_31_a,195_31_b,272_31_a,272_31_b,1343_527_a,1343_527_b,264_31_a,264_31_b,47_31_a,47_31_b,277_31_a,277_31_b,479_527_a,479_527_b,1411_31_a,1411_31_b,1923_527_a,1923_527_b,40_31_a,40_31_b,355_31_a,355_31_b,361_527_a,361_527_b,21_31_a,21_31_b,180_527_a,180_527_b,1346_1344_a,1346_1344_b,750_31_a,750_31_b,131_150_a,131_150_b,275_31_a,275_31_b,437_31_a,437_31_b,276_150_a,276_150_b,137_150_a,137_150_b,127_150_a,127_150_b,179_527_a,179_527_b,527_1344_a,527_1344_b,50_106_a,50_106_b,915_150_a,915_150_b,1889_527_a,1889_527_b,2860_31_a,2860_31_b,408_31_a,408_31_b,1441_527_a,1441_527_b,452_31_a,452_31_b,1072_31_a,1072_31_b,156_31_a,156_31_b,166_31_a,166_31_b,859_31_a,859_31_b,159_150_a,159_150_b,57_106_a,57_106_b,921_31_a,921_31_b,462_31_a,462_31_b,69_31_279_a,69_31_279_b,178_31_279_a,178_31_279_b,306_527_31_a,306_527_31_b,449_31_279_a,449_31_279_b,106_31_279_a,106_31_279_b,641_31_1889_a,641_31_1889_b,725_106_279_a,725_106_279_b,364_31_279_a,364_31_279_b,2321_1344_527_a,2321_1344_527_b,495_150_150_a,495_150_150_b,31_527_1346_a,31_527_1346_b,161_106_279_a,161_106_279_b,681_31_279_a,681_31_279_b,747_31_1889_a,747_31_1889_b,1830_31_279_a,1830_31_279_b,20_150_131_a,20_150_131_b,2670_527_279_a,2670_527_279_b,463_527_31_a,463_527_31_b,710_1344_710_a,710_1344_710_b,749_527_1830_a,749_527_1830_b,186_31_279_a,186_31_279_b,19_150_150_a,19_150_150_b,840_150_150_a,840_150_150_b,39_31_1889_a,39_31_1889_b,793_31_279_a,793_31_279_b,175_106_279_a,175_106_279_b,734_31_279_a,734_31_279_b,1344_527_710_a,1344_527_710_b,1412_31_279_a,1412_31_279_b,1454_31_17_a,1454_31_17_b,27_150_150_a,27_150_150_b,101_31_460_a,101_31_460_b,1552_31_279_a,1552_31_279_b,155_31_527_a,155_31_527_b,58_106_279_a,58_106_279_b,344_106_279_a,344_106_279_b,735_31_279_a,735_31_279_b,1073_31_279_a,1073_31_279_b,162_106_279_a,162_106_279_b,400_31_279_a,400_31_279_b,112_106_31_a,112_106_31_b,658_31_279_a,658_31_279_b,123_31_279_a,123_31_279_b,136_31_279_a,136_31_279_b,366_31_279_a,366_31_279_b,144_31_279_a,144_31_279_b,17_150_150_a,17_150_150_b,1040_106_279_a,1040_106_279_b,2061_31_279_a,2061_31_279_b,407_31_279_a,407_31_279_b,170_106_279_a,170_106_279_b,86_106_279_a,86_106_279_b,1056_31_460_a,1056_31_460_b,54_31_279_a,54_31_279_b,674_31_279_a,674_31_279_b,279_527_279_a,279_527_279_b,195_31_279_a,195_31_279_b,272_31_279_a,272_31_279_b,1343_527_31_a,1343_527_31_b,264_31_279_a,264_31_279_b,47_31_279_a,47_31_279_b,277_31_279_a,277_31_279_b,479_527_527_a,479_527_527_b,1411_31_527_a,1411_31_527_b,1923_527_106_a,1923_527_106_b,40_31_5869_a,40_31_5869_b,355_31_279_a,355_31_279_b,361_527_710_a,361_527_710_b,21_31_1889_a,21_31_1889_b,180_527_150_a,180_527_150_b,1346_1344_710_a,1346_1344_710_b,750_31_279_a,750_31_279_b,131_150_47_a,131_150_47_b,275_31_279_a,275_31_279_b,437_31_279_a,437_31_279_b,276_150_1830_a,276_150_1830_b,137_150_150_a,137_150_150_b,127_150_150_a,127_150_150_b,179_527_527_a,179_527_527_b,527_1344_527_a,527_1344_527_b,50_106_279_a,50_106_279_b,915_150_150_a,915_150_150_b,1889_527_527_a,1889_527_527_b,2860_31_279_a,2860_31_279_b,408_31_279_a,408_31_279_b,1441_527_527_a,1441_527_527_b,452_31_460_a,452_31_460_b,1072_31_279_a,1072_31_279_b,156_31_527_a,156_31_527_b,166_31_527_a,166_31_527_b,859_31_279_a,859_31_279_b,159_150_31_a,159_150_31_b,57_106_279_a,57_106_279_b,921_31_279_a,921_31_279_b,462_31_279_a,462_31_279_b
1064,,asics hyper ld 5 zapatillas con clavos color azul g404y 4399 equipamiento deportivo y casual,asics,,,puma evospeed 4 5 tricks fg pink glo safety yellow black mens shoes firm ground,,,0,,,,,,,Italia 1,,,businessperson,,,,,Italian,,,,Italy,,television series,superhero,Stefano Albertini,,,,,,,,,,,,,Daily Bugle,,,,,,,,New Mexico,,,,,,,,,,,,,,,,,,United States of America,,,,,Teneramente Licia,,Stefano Vicario,,,,,,,,Cip Barcellini,,,,,,,,,,,,,,Ai Shite Knight,,,,,,,,,,,,Ninny Carucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Vicario,,,,,,,,,,,,television station,,,profession,,,,,modern language,,,,Tuscany,,,,film actor,,,,,,,,,,,,,J. Jonah Jameson,,,,,,,,Colfax County,,,,,,,,,,,,,,,,,,Kentucky,,,,,television series,,lyricist,,,,,,,,actor,,,,,,,,,,,,,,anime television series,,,,,,,,,,,,musician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film director,,,,,,,,,,,,broadcaster,,,occupation,,,,,human language,,,,Province of Arezzo,,,,actor,,,,,,,,,,,,,fictional human,,,,,,,,Raton,,,,,,,,,,,,,,,,,,Jessamine County,,,,,,,writer,,,,,,,,artist,,,,,,,,,,,,,,animated series,,,,,,,,,,,,performing artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grammatical gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,director,,,,,
1065,,asics hyper ld 5 zapatillas con clavos color azul g404y 4399 equipamiento deportivo y casual,asics,,,nike tiempo legacy ic fu ballschuhe halle farbe hellblau 631522 418 der online shop f r deine sportbekleidung,nike,,0,,,,,,,,,,,,,,,Italian,English,,,Italy,,film,television series episode,Stefania Sandrelli,Michael Emerson,,,,,,,,,,,,,,,,,,,,,Siena,,,,,,,,,,,,,,,,,,,,,,,Super,Francesca Archibugi,Jonathan Nolan,Giuseppe Lanci,,,,,,,,,,,,,,,,drama film,,,,,,,,Roberto Perpignani,,,,,,,,Battista Lena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person of Interest,,,,,,,,,,,,,,,,,,,,Root Cause,,,,,,,Francesca Archibugi,Brad Anderson,,,color,,,,,,,,,,,,,,,,pro-drop language,modern language,,,Friuli–Venezia Giulia,,trailer,,voice actor,film producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television series episode,film director,screenwriter,cinematographer,,,,,,,,,,,,,,,,film genre,,,,,,,,film editor,,,,,,,,guitarist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Person of Interest, season 2",,,,,,,,,,,,,,,,,,,,television series episode,,,,,,,screenwriter,film editor,,,color scheme,,,,,,,,,,,,,,,,language,human language,,,Province of Trieste,,,,actor,producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,director,writer,camera operator,,,,,,,,,,,,,,,,art genre,,,,,,,,,,,,,,,,instrumentalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relevance,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,color,
1066,,asics hyper ld 5 zapatillas con clavos color azul g404y 4399 equipamiento deportivo y casual,asics,,,nike tiempo legacy ic botas f tbol sin tacos color azul claro 631522 418 equipamiento deportivo y casual,nike,,0,,,,,,,,,,,,,,,Italian,,,,Italy,,film,jewellery,Debora Caprioglio,,,,,,,,,,,,,,,,,,,diamond,,,Siena,,,,,,,,,,,,,,,,,,,,,,,,Francesca Archibugi,,Giuseppe Lanci,,,,,,,,,,,,,,,,drama film,,,,,,,,Roberto Perpignani,,,,,,,Philippe Wolfers,Battista Lena,,,,,,,,,,,Royal Museums of Art and History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Museums of Art and History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesca Archibugi,,,,color,,,,,,,,,,,,,,,,pro-drop language,,,,Trentino-South Tyrol,,film frame,gemstone,model,,,,,,,,,,,,,,,,,,,mineral variety,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,cinematographer,,,,,,,,,,,,,,,,film genre,,,,,,,,teacher,,,,,,,jewellery designer,jazz guitarist,,,,,,,,,,,organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,color scheme,,,,,,,,,,,,,,,,language,,,,Trentino,,,,fashion person,,,,,,,,,,,,,,,,,,,class,,,,,,,,,,,,,,,,,,,,,,,,,,,artist,,camera operator,,,,,,,,,,,,,,,,art genre,,,,,,,,educator,,,,,,,designer,guitarist,,,,,,,,,,,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artist,,,,color,
1067,,nike tiempo mystic v fg platino puro nero arancione hyper scarpe uomo terreni compatti,,,,nike mercurial victory v fg volt hiper rosa negro botas de futbol 651632 760,,,0,,,,,,,,,,,,,,,,,,,United States of America,United States of America,film,written work,DeWitt Jennings,,,,,Victory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldemar Young,,Ira H. Morgan,,,,,,Louis B. Mayer,,,,,,,,,Methuen Publishing,drama film,psychological novel,,,,,,,Frank Sullivan,,4:3,,,English,,,,,,,,,,,,,,,Metro-Goldwyn-Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro-Goldwyn-Mayer,,,,,,,,,,,,,,,,,,,Joseph Conrad,,,,,,,,,,,,,,,,,,,,,,,Tod Browning,,,,black-and-white,,,,,,,,,,,,,,,,,,,,Idaho,Kentucky,credit,,stage actor,,,,,"version, edition, or translation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,cinematographer,,,,,,producer,,,,,,,,,publisher,film genre,literary genre,,,,,,,film editor,,aspect ratio,,,language,,,,,,,,,,,,,,,film production company,,,,,,,,,,,,,,,,,,,,,,,,,,,,film production company,,,,,,,,,,,,,,,,,,,screenwriter,,,,,,,,,,,,,,,,,,,,,,,theater director,,,,form,,,,,,,,,,,,,,,,,,,,Adams County,Todd County,,,actor,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media professional,,camera operator,,,,,,,,,,,,,,,,art genre,genre,,,,,,,,,width to height ratio,,,,,,,,,,,,,,,,,,production company,,,,,,,,,,,,,,,,,,,,,,,,,,,,production company,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,theatrical occupation,,,,,
1068,,nike tiempo mystic v fg pure platinum black hyper orange mens soccer shoes firm ground,,,,nike mercurial victory v fg volt hiper rosa negro botas de futbol 651632 760,,,0,,,,,,cross-platform,Toon Disney,,,,,,,,,,,,United States of America,,television series,distributed revision control system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Rangers S.P.D.,,,,,,,,,,,,,,,,,,,,tokusatsu,,,version control,Mahou Sentai Magiranger,,,,,,,,English,,,,Bruce Lynch,,,,,,Koragg,,Power Rangers,,,,Saban Entertainment,,,,,,,,,Python,,,,,,,,,,,,Software Freedom Conservancy,,,,,,,Saban Capital Group,,,,,"GNU General Public License, version 2.0",,,,,,,,,,,,,,,,,,Mercurial wire protocol,,,,,,,,,,,Power Rangers Operation Overdrive,,,,,,,,John Laing,,,,,,,,,,,,specialty channel,,,,,,,,,,,,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television series,,,,,,,,,,,,,,,,,,,,film genre,,,activity,television series,,,,,,,,modern language,,,,composer,,,,,,,,,,,,film production company,,,,,,,,,general-purpose programming language,,,,,,,,,,,,Homebrew,,,,,,,record label,,,,,open source license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television series,,,,,,,,film director,,,,,,,,,,,,television channel,,,,,,,,,,,,Howard County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,art genre,,,action,television program,,,,,,,,human language,,,,musician,,,,,,,,,,,,production company,,,,,,,,,general-purpose language,,,,,,,,,,,,,,,,,,,trade name,,,,,software license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,director,,,,,
1069,,nike tiempo mystic v fg platino puro nero arancione hyper scarpe uomo terreni compatti,,,,nike tiempo legend vi fg jade noir volt chaussures pour homme terrain sec,,,0,,,Koei,,,,,,,,,,,,,,,,Japan,France,video game,song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mylène Farmer,,,,,,,,,,,,,,,,Oui mais... non,,,,,,,,,,Moby,PlayStation 2,,,,,,Koei,,beat 'em up,pop rock,,,,,,,,,,,,French,,,,,,,,,,,,,,,,,,,,Universal Music Group,,,,,game controller,,,,,,,,,,,Bleu Noir,,,,,,,,,,,,,Nintendo optical disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lonely Lisa,,,,,,,,,,,,,,,video game developer,,,,,,,,,,,,,,,,Akita Prefecture,Saint Pierre and Miquelon,,audio track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recording artist,,,,,,,,,,,,,,,,song,,,,,,,,,,pianist,video game console model,,,,,,video game developer,,video game genre,music genre,,,,,,,,,,,,language,,,,,,,,,,,,,,,,,,,,subsidiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,song,,,,,,,,,,,,,,,organization,,,,,,,,,,,,,,,,Kitaakita,Saint-Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician,,,,,,,,,,,,,,,,,,,,,,,,,,keyboardist,,,,,,,organization,,genre,art genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,,nike tiempo legacy ii fg white black total orange mens boots firm ground,,,,nike tiempo legend vi fg man soccer shoes colour black 819177 010 athletic footwear apparel and sports equipment,nike,,0,,,,,,,,,,,,,,,English,,,,,,television series episode,album,April Lee Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air,,,,,,,,,,,,,,,Super,The Virgin Suicides,Jonathan Nolan,,,,,,,,,Air,,,,,,,,,,progressive rock,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,Virgin Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person of Interest,,,,,,,,,,,,,,,,,,,,Root Cause,Talkie Walkie,,,,,,,Brad Anderson,,,,,,,,,,,,,,,,,,,,language,,,,,,,audio track,film actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television series episode,album,film director,,,,,,,,,audio engineer,,,,,,,,,,music genre,,,,,,,,,,,,modern language,,,,,,,,,,,,,,,,,,,,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Person of Interest, season 3",,,,,,,,,,,,,,,,,,,,television series episode,album,,,,,,,screenwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audio track,director,,,,,,,,,engineer,,,,,,,,,,genre,,,,,,,,,,,,human language,,,,,,,,,,,,,,,,,,,,organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Devil's Share,,,,,,,,,,,,,,,,,,,,,audio track,,,,,,,writer,,,,,
1071,,nike tiempo legacy ii fg bianco nero arancione totale scarpe uomo terreni compatti,,,,nike tiempo legacy ii fg black white hyper orange volt mens boots firm ground,,,0,,,,,,,,,,,,,,,,,,,,United States of America,comune of Italy,film,,Rolfe Sedan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luther Reed,,Victor Milner,,,,,,Famous Players-Lasky Corporation,,,,,,,,,,romantic comedy,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,Paramount Pictures,,,,,Africo,,,,,,,,,,,,,,,,,,,,,,,Paramount Pictures,Province of Reggio Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Tuttle,,,,black-and-white,,,,,,,,,,,,,,,,,,,,Tennessee,,trailer,,television actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenwriter,,cinematographer,,,,,,,,,,,,,,,,television genre,,,,,Liguria,,,,,,,,,,,,,,,,,,,,,,,film production company,,,,,comune of Italy,,,,,,,,,,,,,,,,,,,,,,,film production company,Grotteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film director,,,,form,,,,,,,,,,,,,,,,,,,,Trousdale County,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,camera operator,,,,,,,,,,,,,,,,genre,,,,,Province of Genoa,,,,,,,,,,,,,,,,,,,,,,,production company,,,,,third-level administrative country subdivision,,,,,,,,,,,,,,,,,,,,,,,production company,Fabrizia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,director,,,,
1072,,nike tiempo legacy ii fg bianco nero arancione totale scarpe uomo terreni compatti,,,,nike tiempo legacy ii fg nero bianco arancione hyper volt scarpe uomo terreni copmpatti,,,0,,,,,,,,,,,,,,,,,,,,,comune of Italy,comune of Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferruzzano,Ferruzzano,,,,,,,,,,,,,,,,,,,,,,,Province of Reggio Calabria,Metropolitan City of Reggio Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umbria,Emilia-Romagna,,,,,,,,,,,,,,,,,,,,,,,,,,,comune of Italy,comune of Italy,,,,,,,,,,,,,,,,,,,,,,,Scido,"San Lorenzo, Calabria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Perugia,Province of Piacenza,,,,,,,,,,,,,,,,,,,,,,,,,,,municipality,administrative territorial entity of Italy,,,,,,,,,,,,,,,,,,,,,,,Santa Cristina d'Aspromonte,Montebello Ionico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,,sneakers buty nike roshe one wolf grey white 511881 023 bludshop com,,,,nike flex 2016 run negro blanco gris zapatillas para hombre,,,0,,,,,,,,,,musician,,,,,Cantonese,,,,Hong Kong,,film,human,Andy Lau,,,,,,,,,,,,,,,,,,,,,Reston,Paris,,,,,,,,,Levin,,,,English,,,,Brazil,,,,,,,,,Andrew Lau,,,Benjamin Joseph,,,,,,,,,,,,,crime film,electronica,,,,,,,,,,,,,,,Les Gock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,Ronny Yu,,,,color,,,,,,,,,,,musical profession,,,,,language,,,,Wong Tai Sin District,,film frame,human body,lyricist,,,,,,,,,,,,,Two Inch Punch,,,,,,,,,1st arrondissement of Paris,,,,,,,,,family name,,,,modern language,,,,Maryland,,,,,,,,,film producer,,,compound given name,,,,,,,,,,,,,crime fiction,music genre,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender,,,,,,,,,,,,,,,,,,,,,,,,,5th arrondissement of Paris,,,,,,,,,,,,,,,,,,,,,,film director,,,,color scheme,,,,,,,,,,,profession,,,,,,,,,,,,,writer,,,,,,,,,,,,,human,,,,,,,,,Saint-Germain-l'Auxerrois,,,,,,,,,anthroponym,,,,human language,,,,Prince George's County,,,,,,,,,media professional,,,given name,,,,,,,,,,,,,fiction,aspect of music,,,,,,,,,,,,,,,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sex,,,,,,,,,,,,,,,,,,,,,,,,,Val-de-Grâce,,,,,,,,,,,,,,,,,,,,,,director,,,,color,
1074,,roshe one nike 511881023 everysize com,nike,,,nike wmns air pegasus 89 black summit white wolf grey 84488 001 bludshop com,,,0,,Brasenose College,,,,,,,,politician,,,,,,,,,,,goddess,human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brockhaus and Efron Encyclopedic Dictionary,,,,,,,,,,,,,,,,,,,,female,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Companion of the Order of St Michael and St George,,,,,,,,,,,,college of the University of Oxford,,,,,,,,profession,,,,,,,,,,,,human body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,family name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brockhaus and Efron Encyclopedic Dictionary. Volume XVIII, 1896",,,,,,,,,,,,,,,,,,,,gender,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colleges within universities in the United Kingdom,,,,,,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anthroponym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"version, edition, or translation",,,,,,,,,,,,,,,,,,,,sex,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,nike sportswear roshe run gris loup blanc chaussures pour homme,,,,nike flex 2016 run nero bianco grigio scarpe uomo,,,0,,,,,,,,,poet,,,,,,,Italian,,,,Italy,human,film,,Giovanna Scotto,,,,,,,Vladikavkaz,,,,,,,,,,,,South Ossetia,,,,,,,,,,,,,,Ossetian,,,,Russian Empire,,,,,,,,,Silvio Siano,,Romolo Garroni,,,,,,,,,,,,,,,,drama film,,,,,,,,Edmondo Lozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order of the Red Banner of Labour,,,,,,,Silvio Siano,,,,black-and-white,,,,,,,,,profession,,,,,,,modern language,,,,Basilicata,human body,film frame,,stage actor,,,,,,,,,,,,,,,,,,,Leningor District,,,,,,,,,,,,,,modern language,,,,Komi Republic,,,,,,,,,film director,,cinematographer,,,,,,,,,,,,,,,,film genre,,,,,,,,film director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military decoration,,,,,,,screenwriter,,,,form,,,,,,,,,occupation,,,,,,,human language,,,,Province of Potenza,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human language,,,,,,,,,,,,,director,,camera operator,,,,,,,,,,,,,,,,art genre,,,,,,,,director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,,,
